,Data,Label
0,"Subject: പാലക്കാട്
സംഗീതത്തിന്റെയും ഉത്സവങ്ങളുടെയും നാട്. കേരളത്തിന്റെ നെല്ലറയെന്ന് വിശേഷിപ്പിക്കപ്പെടുന്ന പാലക്കാട് 
പശ്ചിമഘട്ടമലനിരകളോട് ചേര്‍ന്നുകിടക്കുന്ന പ്രദേശമാണ്. സങ്കരസംസ്‌കാരമാണ് 
പാലക്കാടിന്റെ പ്രത്യേകത, തമിഴ്‌നാടുമായി ചേര്‍ന്നുകിടക്കുന്നതുകൊണ്ടുതന്നെ പാലക്കാട് ജില്ലയിലെ പലഭാഗങ്ങളിലും ഭാഷയിലും
ജീവിതരീതിയിലുമെല്ലാം തമിഴ് സ്വാധീനം കാണാന്‍ കഴിയും. പരന്നുകിടക്കുന്ന നെല്‍പ്പാടങ്ങളും കുന്നിന്‍ചരിവുകളും കരിമ്പനക്കൂട്ടങ്ങളുമെല്ലാം പാലക്കാട്ടെ സ്ഥിരം കാഴ്ചകളാണ്. വരണ്ട ഭൂപ്രദേശങ്ങളും നിബിഡ വനങ്ങളും, 
മലയോരങ്ങളുമെല്ലാമുള്‍പ്പെടുന്ന ഭൂപ്രകൃതിയാണ് പാലക്കാടിന്റേത്.സംസ്‌കാരങ്ങളുടെ സമ്മേളനം 
കേരളത്തെയും തമിഴ്‌നാടിനെയും ബന്ധിപ്പിയ്ക്കുന്ന പശ്ചിമഘട്ടത്തിലെ പ്രകൃതിദത്ത പാതയായ പാലക്കാട് ചുരം പ്രശസ്തമാണ്. 
",1
1,"Subject: ഇടുക്കി 
പച്ചപുതച്ച നിബിഢ വനങ്ങളും ഉയര്‍ന്ന്‌നില്‍ക്കുന്ന മലകളുമുള്ള ഇടുക്കി സഞ്ചാരികളുടെ മോഹന സങ്കേതമാണ്. ദക്ഷിണേന്ത്യയിലെ ഏറ്റവും വലിയ കൊടുമുടിയെന്ന ഗര്‍വ്വോടെ തല യുയര്‍ത്തിനില്ക്കുന്ന ആനമുടിയും ലോകത്തിലെ ഏറ്റവും വലിയ രണ്ടാമത്തെ ആര്‍ച്ച്ഡാമെന്ന അപൂര്‍വ്വ ബഹുമതിയോടെ ഇടുക്കി ഡാമും ദൈവത്തിന്റെ ഈ സ്വന്തം ജില്ലയുടെ മനോഹാരിത യ്ക്ക് മാറ്റ് കൂട്ടുന്നു.",1
2,"Subject: തേക്കടി 

പ്രകൃതിയുടെ ലാളനമേറ്റുവാങ്ങി തേക്കടി. കേരളത്തിലെ ഏറ്റവും ആകര്‍ഷകവും അത്യപൂര്‍വ്വമായ വിസ്മയാനുഭവങ്ങള്‍ സന്ദര്‍ശകന് സമ്മാനിക്കുന്ന ടൂറിസ്റ്റ് കേന്ദ്രവുമാണ് ഇടുക്കി ജില്ലയിലെ തേക്കടി. വിശ്വപ്രസിദ്ധമായ പെരിയാര്‍ വന്യജീവി സംരക്ഷണ മേഖലയാണ് ഇവിടത്തെ പ്രധാന ആകര്‍ഷണ ഘടകമെങ്കിലുംഎല്ലാ തരക്കാരുടെയും ഇഷ്ടങ്ങളെ തൃപ്തിപ്പെടുത്താന്‍ തേക്കടി സമ്പന്നമാണ്.ദുര്‍ഘടയാത്രകള്‍ ഇഷ്ടപ്പെടുനവരെയും പ്രകൃതിസ്‌നേഹികളെയും കാടിനെ നെഞ്ചിലേറ്റുന്നവരെയും സാഹസപ്രിയരെയും ഒരുപോലെ തേക്കടിയിലെ പ്രകൃതി കടാക്ഷിക്കുന്നു. ",1
3,"Subject:കല്‍പ്പറ്റ 

വയനാടന്‍ പെരുമയുമായി . കാപ്പിത്തോട്ടങ്ങളും വെള്ളച്ചാട്ടങ്ങളും നിറഞ്ഞ് വിനോദസഞ്ചാരഭൂപടത്തില്‍ വയനാടന്‍ പെരുമ കാത്തുസൂക്ഷിക്കുന്ന ഒരു മലയോര പട്ടണമാണ് കല്‍പ്പറ്റ. വയനാട് ജില്ലയുടെ ആസ്ഥാനം കൂടിയാണ് കല്‍പറ്റ. കാപ്പിത്തോട്ടങ്ങളും തേയിലത്തോട്ടങ്ങളും മലകളും കൊണ്ട് ചുറ്റപ്പെട്ട മനോഹരമായ പട്ടണമാണ് ഇത്. വയനാട്ടിലെ ഒരേയൊരു മുനിസിപ്പല്‍ പട്ടണം കൂടിയാണ് കല്‍പ്പറ്റ. വയനാട് ജില്ലയിലെ എല്ലാ വിനോദസഞ്ചാര ആകര്‍ഷണങ്ങളിലേക്കും ഉള്ള ഒരു പ്രവേശന കവാടമെന്ന് വേണമെങ്കില്‍ കല്‍പ്പറ്റയെ വിളിക്കാം. കോഴിക്കോട് - മൈസൂര്‍ ദേശീയപാതയായ ദേശീയപാത 212 കല്‍പ്പറ്റയിലൂടെയാണ് കടന്നുപോകുന്നത്. സമുദ്രനിരപ്പില്‍ നിന്ന് 1000 മീറ്റര്‍ ഉയരത്തിലാണ് കല്‍പറ്റ സ്ഥിതിചെയ്യുന്നത്.
 കല്‍പ്പറ്റ സവിശേഷതകൾ - നിരവധി ഹിന്ദു ക്ഷേത്രങ്ങളും ജൈന ക്ഷേത്രങ്ങളും മോസ്‌കുകളും കല്‍പ്പറ്റയ്ക്ക് ചുറ്റുമായുണ്ട്. മഹാവിഷ്ണു ക്ഷേത്രം, ശ്രീ ശാസ്താ ക്ഷേത്രം തുടങ്ങിയ ഹിന്ദു ക്ഷേത്രങ്ങളും പുളിയാര്‍മല ജൈനക്ഷേത്രവുമാണ് ഇവയില്‍ പ്രധാനപ്പെട്ടത്. 300 വര്‍ഷത്തിലധികം പഴക്കമുള്ള വാരമ്പറ്റ മോസ്‌ക്കാണ് കല്‍പ്പറ്റയിലെ പ്രധാന ആകര്‍ഷണങ്ങളിലൊന്ന്. മീന്‍മുട്ടി, കാന്തന്‍പാറ, സൂചിപ്പാറ എന്നിവയാണ് കല്‍പ്പറ്റയ്ക്ക് സമീപത്തുള്ള പ്രധാനപ്പെട്ട വെള്ളച്ചാട്ടങ്ങള്‍. മനോഹരമായ കാലാവസ്ഥയും സര്‍വ്വോപരി വിനോദസഞ്ചാരികളുടെ പ്രിയകേന്ദ്രമായ വയനാടിന്റെ ഭാഗമാണെന്നതും കല്‍പ്പറ്റയിലേക്ക് സഞ്ചാരികളെത്താന്‍ കാരണമാകുന്ന ഘടകങ്ങളാണ്. റോഡ് മാര്‍ഗം എളുപ്പത്തില്‍ എത്തിച്ചേരാന്‍ സാധിക്കുമെങ്കിലും വ്യോമ, റെയില്‍ മാര്‍ഗം കല്‍പ്പറ്റയിലേത്തുക അത്ര എളുപ്പമല്ല.കല്‍പ്പറ്റ ആകര്‍ഷണങ്ങൾ",1
4,"Subject: മലയാളം
ഇന്ത്യയിൽ‌ പ്രധാനമായും കേരള സംസ്ഥാനത്തിലും ലക്ഷദ്വീപിലും പുതുച്ചേരിയുടെ ഭാഗമായ മയ്യഴിയിലും സംസാരിക്കപ്പെടുന്ന ഭാഷയാണ് മലയാളം. ഇതു ദ്രാവിഡ ഭാഷാ കുടുംബത്തിൽപ്പെടുന്നു. ഇന്ത്യയിൽ ശ്രേഷ്ഠഭാഷാ പദവി ലഭിക്കുന്ന അഞ്ചാമത്തെ ഭാഷയാണ് മലയാളം[5]. 2013 മേയ് 23-നു ചേർന്ന കേന്ദ്രമന്ത്രിസഭായോഗമാണ് മലയാളത്തെ ശ്രേഷ്ഠഭാഷയായി അംഗീകരിച്ചത് ",0
5,"Subject: നേപ്പാളി ഭാഷ
നേപ്പാൾ, ഭൂട്ടാൻ എന്നിവിടങ്ങളിലും ഇന്ത്യയിൽ സിക്കിം(3,38,606), പശ്ചിമ ബംഗാൾ(10,22,725),ആസ്സാം(5,64,790), ഉത്തർപ്രദേശ്(2,63,982) എന്നിവിടങ്ങളിലും സംസാരിക്കപ്പെടുന്ന ഇന്തോ-ആര്യൻ കുടുംബത്തിൽ‌പ്പെട്ട ഭാഷയാണ്‌ നേപ്പാളി ഭാഷ[2]. ലോകമെമ്പാടുമായി 1,72,09,255 പേർ മാതൃഭാഷയായി സംസാരിക്കുന്ന ഈ ഭാഷ നേപ്പാളിലെ പ്രധാനഭാഷയും 1,10,53,255 പേരുടെ സംസാരഭാഷയുമാണ്‌ [3]. ദേവനാഗരി ലിപിയിൽ‌ എഴുതപ്പെടുന്ന ഈ ഭാഷക്ക് ഗൂർക്കാലി(ഗൂർഖകളുടെ ഭാഷ), പർവ്വതീയ(പർവ്വതപ്രദേശത്തെ ഭാഷ), ഖാസ്‌കുര (കർണാലി-ഭേരി നദീതടത്തിലെ ഖാസ് വംശജരുടെ ഭാഷ) എന്നീ അപരനാമങ്ങളുമുണ്ട്‌. ",0
6,"Subject: സിന്ധി
സിന്ധി  ഇപ്പോൾ പാകിസ്താനിൽ സ്ഥിതിചെയ്യുന്ന സിന്ധ്‌ പ്രദേശത്തെ ഭാഷയാണ്‌. ലോകമെമ്പാടുമായി രണ്ട്കോടിയിലധികം ആൾക്കാർ സംസാരിക്കുന്ന ഭാഷയായ സിന്ധി, പാകിസ്താനിൽ 1.85 കോടി ആൾക്കാരും ഇന്ത്യയിൽ 25,35,485 ആൾക്കാരും സംസാരിക്കുന്നുണ്ട്‌. ഇന്ത്യയിലെ ഒരു ഔദ്യോഗികഭാഷയായ സിന്ധി, പാകിസ്താനിൽ ഏറ്റവും കൂടുതൽ ആൾക്കാർ സംസാരിക്കുന്ന മൂന്നാമത്തെ ഭാഷയാണ്. ആദ്യകാലത്ത് ദേവനാഗരി ലിപിയിൽ എഴുതപ്പെട്ടിരുന്ന സിന്ധിക്ക് ബ്രിട്ടീഷ് ഈസ്റ്റ് ഇന്ത്യ കമ്പനിയാണ്‌ അറബിയിൽനിന്നും രൂപാന്തരപ്പെടുത്തിയ ലിപി നിർമ്മിക്കാൻ മുൻകൈ എടുത്തത്. ഭക്തിപ്രസ്ഥാനത്തിന്റെ ഭാഗമായി പ്രചരിപ്പിക്കപ്പെട്ട ഭാഷയാണ് സിന്ധി.",0
7,"Subject: പഞ്ചാബി ഭാഷ
ലോകമെമ്പാടുമായി പത്തുകോടിയോളം ആൾക്കാർ സംസാരിക്കുന്ന പഞ്ചാബി ഭാഷ ഇന്ത്യയിലും പാകിസ്താനിലുമായി സ്ഥിതിചെയ്യുന് പഞ്ചാബ് പ്രദേശത്തിൽനിന്നുമുള്ള പഞ്ചാബികളുടെ മാതൃഭാഷയാണിത്. ലോകത്തിൽ ഏറ്റവുമധികം സംസാരിക്കപ്പെടുന്ന ഭാഷകളിൽ പത്താം സ്ഥാനത്താണ് പഞ്ചാബി.പാകിസ്താനിൽ ഏറ്റവും കൂടുതൽ ആൾക്കാർ സംസാരിക്കുന്ന ഭാഷയും ഇന്ത്യയിലെ കുറെ  സംസ്ഥാനങ്ങളിലെ ഔദ്യോഗികഭാഷയുമാണ്. സിഖ് മതവിശ്വാസികളുടെ മതഗ്രന്ഥങ്ങൾ രചിക്കപ്പെട്ടിരിക്കുന്നത്‌ ഈ ഭാഷയിലാണ്‌. പല ചലച്ചിത്രങ്ങളിലും ഗാനങ്ങളിലും പഞ്ചാബി ഭാഷാശകലങ്ങൾ ഉപയോഗിക്കപ്പെടാറുണ്ട്",0
8,"Subject: കടലുണ്ടി പക്ഷി സങ്കേതം
മലപ്പുറം ജില്ലയില്‍ കോഴിക്കോടു നിന്ന് 19 കിലോമീറ്ററും ബേപ്പൂര്‍ തുറമുഖത്തു നിന്ന് 7 കിലോമീറ്ററും അകലെയാണ് കടലുണ്ടി പക്ഷിസങ്കേതം. കടലുണ്ടിപുഴ അറബിക്കടലുമായി ചേരുന്നിടത്ത് ഒരു കൂട്ടം ചെറുദ്വീപുകളിലായി പരന്നുകിടക്കുകയാണ് കടലുണ്ടി പക്ഷിസങ്കേതം. ഈ പ്രദേശത്തെ നാട്ടുകാര്‍ കടലുണ്ടി നഗരം എന്നു വിളിക്കുന്നു.
കടലുണ്ടി പക്ഷി സങ്കേതംസ്ഥാനം കാഴ്ചകള്‍ - നൂറോളം തദ്ദേശീയ പക്ഷിവര്‍ഗ്ഗങ്ങളും 60ല്‍ പരം ഇനത്തില്‍ പെട്ട ദേശാടനക്കിളികളും ഇവിടെ കൂടുകൂട്ടുന്നു. സമുദ്രനിരപ്പില്‍ നിന്ന് 200 മീറ്റര്‍ ഉയരത്തിലുള്ള ഒരു കുന്ന് പക്ഷിസങ്കേതത്തിനു സമീപമുണ്ട്. ഇവിടെനിന്നാല്‍ അഴിമുഖം കാണാം. വ്യത്യസ്തയിനം മത്സ്യഇനങ്ങള്‍ക്കും ഞണ്ടിനും പ്രശസ്തമാണ് കടലുണ്ടി.
യാത്രാ സൗകര്യം കടലുണ്ടി പക്ഷി സങ്കേതം  - സമീപ റെയില്‍വെ സ്‌റ്റേഷന്‍ - കോഴിക്കോട്, കടലുണ്ടിയില്‍ നിന്ന് ഏകദേശം 19 കി.മീ.സമീപ വിമാനത്താവളം - കരിപ്പൂര്‍ ഇന്റര്‍നാഷണല്‍ എയര്‍പോര്‍ട്ട്, കോഴിക്കോട് നഗരത്തില്‍ നിന്ന് 23 കി.മീ.
കടലുണ്ടി പക്ഷി സങ്കേതം - സമീപ റെയില്‍വെ സ്‌റ്റേഷന്‍ - കോഴിക്കോട്, കടലുണ്ടിയില്‍ നിന്ന് ഏകദേശം 19 കി.മീ.സമീപ വിമാനത്താവളം - കരിപ്പൂര്‍ ഇന്റര്‍നാഷണല്‍ എയര്‍പോര്‍ട്ട്, കോഴിക്കോട് നഗരത്തില്‍ നിന്ന് 23 കി.മീ.",1
9,"Subject: സിന്ധി
സിന്ധി  ഇപ്പോൾ പാകിസ്താനിൽ സ്ഥിതിചെയ്യുന്ന സിന്ധ്‌ പ്രദേശത്തെ ഭാഷയാണ്‌. ലോകമെമ്പാടുമായി രണ്ട്കോടിയിലധികം ആൾക്കാർ സംസാരിക്കുന്ന ഭാഷയായ സിന്ധി, പാകിസ്താനിൽ 1.85 കോടി ആൾക്കാരും ഇന്ത്യയിൽ 25,35,485 ആൾക്കാരും സംസാരിക്കുന്നുണ്ട്‌. ഇന്ത്യയിലെ ഒരു ഔദ്യോഗികഭാഷയായ സിന്ധി, പാകിസ്താനിൽ ഏറ്റവും കൂടുതൽ ആൾക്കാർ സംസാരിക്കുന്ന മൂന്നാമത്തെ ഭാഷയാണ്. ആദ്യകാലത്ത് ദേവനാഗരി ലിപിയിൽ എഴുതപ്പെട്ടിരുന്ന സിന്ധിക്ക് ബ്രിട്ടീഷ് ഈസ്റ്റ് ഇന്ത്യ കമ്പനിയാണ്‌ അറബിയിൽനിന്നും രൂപാന്തരപ്പെടുത്തിയ ലിപി നിർമ്മിക്കാൻ മുൻകൈ എടുത്തത്. ഭക്തിപ്രസ്ഥാനത്തിന്റെ ഭാഗമായി പ്രചരിപ്പിക്കപ്പെട്ട ഭാഷയാണ് സിന്ധി.",0
